Emile Zola,Émile Zola,58 966
Emily Brontë,Emily Brontë,4 166
Emily Loizeau,Emily Loizeau,1 186
Eminem,Eminem,51 730
Emir Kusturica,Emir Kusturica,6 410
Emma de Caunes,Emma de Caunes,8 745
Emmanuel Chain,Emmanuel Chain,3 550
Emmanuel Kant,Emmanuel Kant,20 677
Emmanuel Macron,Emmanuel Macron,155 714
Emmanuelle Béart,Emmanuelle Béart,14 491
EnjoyPhoenix,EnjoyPhoenix,8 897
Enki Bilal,Enki Bilal,3 968
Ennio Morricone,Ennio Morricone,12 777
Enrico Caruso,Enrico Caruso,3 048
Enrico Macias,Enrico Macias,15 315
Enrique Iglesias,Enrique Iglesias,19 555
Enrique Peña Nieto,Enrique Peña Nieto,4 203
Eric Bana,Eric Bana,5 163
Eric Cantona,Éric Cantona,34 350
Eric Clapton,Eric Clapton,14 289
Eric Satie,Erik Satie,10 201
Eric Tabarly,Éric Tabarly,77 926
Ernest Hemingway,Ernest Hemingway,18 688
Ernesto Che Guevara,Che Guevara,56 033
Eros Ramazzati,NULL,NULL
Estelle Lefébure,Estelle Lefébure,29 114
Ethan Cohen,Joel et Ethan Coen,15 348
Ethan Hawke,Ethan Hawke,9 983
Etienne Daho,Étienne Daho,12 658
Etienne Mougeotte,Étienne Mougeotte,1 569
Eugène Delacroix,Eugène Delacroix,20 387
Eva Braun,Eva Braun,10 039
Eva Green,Eva Green,30 856
Eva Longoria,Eva Longoria,56 847
Eva Mendes,Eva Mendes,13 012
Eva Perón,Eva Perón,9 647
Eve Angeli,Ève Angeli,17 843
Ewan McGregor,Ewan McGregor,19 787
Fabien Barthez,Fabien Barthez,99 319
Fabien Pelous,Fabien Pelous,2 303
Fabrice Luchini,Fabrice Luchini,23 423
Fairuz,Fairuz,4 370
Fanny Ardant,Fanny Ardant,8 093
Fanny Cotteçon,NULL,NULL
Federico Fellini,Federico Fellini,5 509
Félix Faure,Félix Faure,11 928
Ferdinand de Lesseps,Ferdinand de Lesseps,3 932
Ferdinand de Saussure,Ferdinand de Saussure,5 963
Ferdinand Foch,Ferdinand Foch,5 874
Fergie,Fergie (chanteuse),7 958
Fernand de Magellan,Fernand de Magellan,30 629
Fernand Reynaud,Fernand Raynaud,4 476
Fernandel,Fernandel,13 433
Fernando Alonso,Fernando Alonso,24 786
Fidel Castro,Fidel Castro,19 970
Florence Arthaud,Florence Arthaud,18 685
Florence Aubenas,Florence Aubenas,2 792
Florence Cassez,Affaire Florence Cassez,3 185
Florence Darel,Florence Darel,1 525
Florence Foresti,Florence Foresti,27 358
Florent Pagny,Florent Pagny,14 371
France Gall,France Gall,41 010
Frances McDormand,Frances McDormand,6 057
Francis Cabrel,Francis Cabrel,18 169
Francis Ford Coppola,Francis Ford Coppola,11 267
Francis Heaulmes,Francis Heaulme,8 828
Francis Huster,Francis Huster,7 488
Francis Joyon,Francis Joyon,315
Francis Lalanne,Francis Lalanne,12 689
Francis Ponge,Francis Ponge,10 736
Francisco Franco,Francisco Franco,32 079
Francisco Guterres,Francisco Guterres,263
